Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/system_ila_0/inst/probe0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
885,885,0,ffffffff
886,886,0,ffffffff
887,887,0,ffffffff
888,888,0,ffffffff
889,889,0,ffffffff
890,890,0,ffffffff
891,891,0,ffffffff
892,892,0,ffffffff
893,893,0,ffffffff
894,894,0,ffffffff
895,895,0,ffffffff
896,896,0,ffffffff
897,897,0,ffffffff
898,898,0,ffffffff
899,899,0,ffffffff
900,900,0,ffffffff
901,901,0,ffffffff
902,902,0,ffffffff
903,903,0,ffffffff
904,904,0,ffffffff
905,905,0,ffffffff
906,906,0,ffffffff
907,907,0,ffffffff
908,908,0,ffffffff
909,909,0,ffffffff
910,910,0,ffffffff
911,911,0,ffffffff
912,912,0,ffffffff
913,913,0,ffffffff
914,914,0,ffffffff
915,915,0,ffffffff
916,916,0,ffffffff
917,917,0,ffffffff
918,918,0,ffffffff
919,919,0,ffffffff
920,920,0,ffffffff
921,921,0,ffffffff
922,922,0,ffffffff
923,923,0,ffffffff
924,924,0,ffffffff
925,925,0,ffffffff
926,926,0,ffffffff
927,927,0,ffffffff
928,928,0,ffffffff
929,929,0,ffffffff
930,930,0,ffffffff
931,931,0,ffffffff
932,932,0,ffffffff
933,933,0,ffffffff
934,934,0,ffffffff
935,935,0,ffffffff
936,936,0,ffffffff
937,937,0,ffffffff
938,938,0,ffffffff
939,939,0,ffffffff
940,940,0,ffffffff
941,941,0,ffffffff
942,942,0,ffffffff
943,943,0,ffffffff
944,944,0,ffffffff
945,945,0,ffffffff
946,946,0,ffffffff
947,947,0,ffffffff
948,948,0,ffffffff
949,949,0,ffffffff
950,950,0,ffffffff
951,951,0,ffffffff
952,952,0,ffffffff
953,953,0,ffffffff
954,954,0,ffffffff
955,955,0,ffffffff
956,956,0,ffffffff
957,957,0,ffffffff
958,958,0,ffffffff
959,959,0,ffffffff
960,960,0,ffffffff
961,961,0,ffffffff
962,962,0,ffffffff
963,963,0,ffffffff
964,964,0,ffffffff
965,965,0,ffffffff
966,966,0,ffffffff
967,967,0,ffffffff
968,968,0,ffffffff
969,969,0,ffffffff
970,970,0,ffffffff
971,971,0,ffffffff
972,972,0,ffffffff
973,973,0,ffffffff
974,974,0,ffffffff
975,975,0,ffffffff
976,976,0,ffffffff
977,977,0,ffffffff
978,978,0,ffffffff
979,979,0,ffffffff
980,980,0,ffffffff
981,981,0,ffffffff
982,982,0,ffffffff
983,983,0,ffffffff
984,984,0,ffffffff
985,985,0,ffffffff
986,986,0,ffffffff
987,987,0,ffffffff
988,988,0,ffffffff
989,989,0,ffffffff
990,990,0,ffffffff
991,991,0,ffffffff
992,992,0,ffffffff
993,993,0,ffffffff
994,994,0,ffffffff
995,995,0,ffffffff
996,996,0,ffffffff
997,997,0,ffffffff
998,998,0,ffffffff
999,999,0,ffffffff
1000,1000,0,ffffffff
1001,1001,0,ffffffff
1002,1002,0,ffffffff
1003,1003,0,ffffffff
1004,1004,0,ffffffff
1005,1005,0,ffffffff
1006,1006,0,ffffffff
1007,1007,0,ffffffff
1008,1008,0,ffffffff
1009,1009,0,ffffffff
1010,1010,0,ffffffff
1011,1011,0,ffffffff
1012,1012,0,ffffffff
1013,1013,0,ffffffff
1014,1014,0,ffffffff
1015,1015,0,ffffffff
1016,1016,0,ffffffff
1017,1017,0,ffffffff
1018,1018,0,ffffffff
1019,1019,0,ffffffff
1020,1020,0,ffffffff
1021,1021,0,ffffffff
1022,1022,0,ffffffff
1023,1023,0,ffffffff
