Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/system_ila_0/inst/probe0_1[31:0],pcie/design_1_i/system_ila_0/inst/probe1_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
359,359,0,ffffffff,ffffffff
360,360,0,ffffffff,ffffffff
361,361,0,ffffffff,ffffffff
362,362,0,ffffffff,ffffffff
363,363,0,ffffffff,ffffffff
364,364,0,ffffffff,ffffffff
365,365,0,ffffffff,ffffffff
366,366,0,ffffffff,ffffffff
367,367,0,ffffffff,ffffffff
368,368,0,ffffffff,ffffffff
369,369,0,ffffffff,ffffffff
370,370,0,ffffffff,ffffffff
371,371,0,ffffffff,ffffffff
372,372,0,ffffffff,ffffffff
373,373,0,ffffffff,ffffffff
374,374,0,ffffffff,ffffffff
375,375,0,ffffffff,ffffffff
376,376,0,ffffffff,ffffffff
377,377,0,ffffffff,ffffffff
378,378,0,ffffffff,ffffffff
379,379,0,ffffffff,ffffffff
380,380,0,ffffffff,ffffffff
381,381,0,ffffffff,ffffffff
382,382,0,ffffffff,ffffffff
383,383,0,ffffffff,ffffffff
384,384,0,ffffffff,ffffffff
385,385,0,ffffffff,ffffffff
386,386,0,ffffffff,ffffffff
387,387,0,ffffffff,ffffffff
388,388,0,ffffffff,ffffffff
389,389,0,ffffffff,ffffffff
390,390,0,ffffffff,ffffffff
391,391,0,ffffffff,ffffffff
392,392,0,ffffffff,ffffffff
393,393,0,ffffffff,ffffffff
394,394,0,ffffffff,ffffffff
395,395,0,ffffffff,ffffffff
396,396,0,ffffffff,ffffffff
397,397,0,ffffffff,ffffffff
398,398,0,ffffffff,ffffffff
399,399,0,ffffffff,ffffffff
400,400,0,ffffffff,ffffffff
401,401,0,ffffffff,ffffffff
402,402,0,ffffffff,ffffffff
403,403,0,ffffffff,ffffffff
404,404,0,ffffffff,ffffffff
405,405,0,ffffffff,ffffffff
406,406,0,ffffffff,ffffffff
407,407,0,ffffffff,ffffffff
408,408,0,ffffffff,ffffffff
409,409,0,ffffffff,ffffffff
410,410,0,ffffffff,ffffffff
411,411,0,ffffffff,ffffffff
