Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/myip_0_slv_reg0[31:0],pcie/design_1_i/myip_0_slv_reg1[31:0],pcie/design_1_i/to_slv_reg2_0_1[31:0],pcie/design_1_i/to_slv_reg3_0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
405,405,0,00000003,00000000,00010001,00000150
406,406,0,00000003,00000000,00010001,00000150
407,407,0,00000003,00000000,00010001,00000150
408,408,0,00000003,00000000,00010001,00000150
409,409,0,00000003,00000000,00010001,00000150
410,410,0,00000003,00000000,00010001,00000150
411,411,0,00000003,00000000,00010001,00000150
412,412,0,00000003,00000000,00010001,00000150
413,413,0,00000003,00000000,00010001,00000150
414,414,0,00000003,00000000,00010001,00000150
415,415,0,00000003,00000000,00010001,00000150
416,416,0,00000003,00000000,00010001,00000150
417,417,0,00000003,00000000,00010001,00000150
418,418,0,00000003,00000000,00010001,00000150
419,419,0,00000003,00000000,00010001,00000150
420,420,0,00000003,00000000,00010001,00000150
421,421,0,00000003,00000000,00010001,00000150
422,422,0,00000003,00000000,00010001,00000150
423,423,0,00000003,00000000,00010001,00000150
424,424,0,00000003,00000000,00010001,00000150
425,425,0,00000003,00000000,00010001,00000150
426,426,0,00000003,00000000,00010001,00000150
427,427,0,00000003,00000000,00010001,00000150
428,428,0,00000003,00000000,00010001,00000150
429,429,0,00000003,00000000,00010001,00000150
430,430,0,00000003,00000000,00010001,00000150
431,431,0,00000003,00000000,00010001,00000150
432,432,0,00000003,00000000,00010001,00000150
433,433,0,00000003,00000000,00010001,00000150
434,434,0,00000003,00000000,00010001,00000150
435,435,0,00000003,00000000,00010001,00000150
436,436,0,00000003,00000000,00010001,00000150
437,437,0,00000003,00000000,00010001,00000150
438,438,0,00000003,00000000,00010001,00000150
439,439,0,00000003,00000000,00010001,00000150
440,440,0,00000003,00000000,00010001,00000150
441,441,0,00000003,00000000,00010001,00000150
442,442,0,00000003,00000000,00010001,00000150
443,443,0,00000003,00000000,00010001,00000150
444,444,0,00000003,00000000,00010001,00000150
445,445,0,00000003,00000000,00010001,00000150
446,446,0,00000003,00000000,00010001,00000150
447,447,0,00000003,00000000,00010001,00000150
448,448,0,00000003,00000000,00010001,00000150
449,449,0,00000003,00000000,00010001,00000150
450,450,0,00000003,00000000,00010001,00000150
451,451,0,00000003,00000000,00010001,00000150
452,452,0,00000003,00000000,00010001,00000150
453,453,0,00000003,00000000,00010001,00000150
454,454,0,00000003,00000000,00010001,00000150
455,455,0,00000003,00000000,00010001,00000150
456,456,0,00000003,00000000,00010001,00000150
457,457,0,00000003,00000000,00010001,00000150
458,458,0,00000003,00000000,00010001,00000150
459,459,0,00000003,00000000,00010001,00000150
460,460,0,00000003,00000000,00010001,00000150
461,461,0,00000003,00000000,00010001,00000150
462,462,0,00000003,00000000,00010001,00000150
463,463,0,00000003,00000000,00010001,00000150
464,464,0,00000003,00000000,00010001,00000150
465,465,0,00000003,00000000,00010001,00000150
466,466,0,00000003,00000000,00010001,00000150
467,467,0,00000003,00000000,00010001,00000150
468,468,0,00000003,00000000,00010001,00000150
469,469,0,00000003,00000000,00010001,00000150
470,470,0,00000003,00000000,00010001,00000150
471,471,0,00000003,00000000,00010001,00000150
472,472,0,00000003,00000000,00010001,00000150
473,473,0,00000003,00000000,00010001,00000150
474,474,0,00000003,00000000,00010001,00000150
475,475,0,00000003,00000000,00010001,00000150
476,476,0,00000003,00000000,00010001,00000150
477,477,0,00000003,00000000,00010001,00000150
478,478,0,00000003,00000000,00010001,00000150
479,479,0,00000003,00000000,00010001,00000150
480,480,0,00000003,00000000,00010001,00000150
481,481,0,00000003,00000000,00010001,00000150
482,482,0,00000003,00000000,00010001,00000150
483,483,0,00000003,00000000,00010001,00000150
484,484,0,00000003,00000000,00010001,00000150
485,485,0,00000003,00000000,00010001,00000150
486,486,0,00000003,00000000,00010001,00000150
487,487,0,00000003,00000000,00010001,00000150
488,488,0,00000003,00000000,00010001,00000150
489,489,0,00000003,00000000,00010001,00000150
490,490,0,00000003,00000000,00010001,00000150
491,491,0,00000003,00000000,00010001,00000150
492,492,0,00000003,00000000,00010001,00000150
493,493,0,00000003,00000000,00010001,00000150
494,494,0,00000003,00000000,00010001,00000150
495,495,0,00000003,00000000,00010001,00000150
496,496,0,00000003,00000000,00010001,00000150
497,497,0,00000003,00000000,00010001,00000150
498,498,0,00000003,00000000,00010001,00000150
499,499,0,00000003,00000000,00010001,00000150
500,500,0,00000003,00000000,00010001,00000150
501,501,0,00000003,00000000,00010001,00000150
502,502,0,00000003,00000000,00010001,00000150
503,503,0,00000003,00000000,00010001,00000150
504,504,0,00000003,00000000,00010001,00000150
505,505,0,00000003,00000000,00010001,00000150
506,506,0,00000003,00000000,00010001,00000150
507,507,0,00000003,00000000,00010001,00000150
508,508,0,00000003,00000000,00010001,00000150
509,509,0,00000003,00000000,00010001,00000150
510,510,0,00000003,00000000,00010001,00000150
511,511,0,00000003,00000000,00010001,00000150
512,512,0,00000003,00000000,00010001,00000150
513,513,0,00000003,00000000,00010001,00000150
514,514,0,00000003,00000000,00010001,00000150
515,515,0,00000003,00000000,00010001,00000150
516,516,0,00000003,00000000,00010001,00000150
517,517,0,00000003,00000000,00010001,00000150
518,518,0,00000003,00000000,00010001,00000150
519,519,0,00000003,00000000,00010001,00000150
520,520,0,00000003,00000000,00010001,00000150
521,521,0,00000003,00000000,00010001,00000150
522,522,0,00000003,00000000,00010001,00000150
523,523,0,00000003,00000000,00010001,00000150
524,524,0,00000003,00000000,00010001,00000150
525,525,0,00000003,00000000,00010001,00000150
526,526,0,00000003,00000000,00010001,00000150
527,527,0,00000003,00000000,00010001,00000150
528,528,0,00000003,00000000,00010001,00000150
529,529,0,00000003,00000000,00010001,00000150
530,530,0,00000003,00000000,00010001,00000150
531,531,0,00000003,00000000,00010001,00000150
532,532,0,00000003,00000000,00010001,00000150
533,533,0,00000003,00000000,00010001,00000150
534,534,0,00000003,00000000,00010001,00000150
535,535,0,00000003,00000000,00010001,00000150
536,536,0,00000003,00000000,00010001,00000150
537,537,0,00000003,00000000,00010001,00000150
538,538,0,00000003,00000000,00010001,00000150
539,539,0,00000003,00000000,00010001,00000150
540,540,0,00000003,00000000,00010001,00000150
541,541,0,00000003,00000000,00010001,00000150
542,542,0,00000003,00000000,00010001,00000150
543,543,0,00000003,00000000,00010001,00000150
544,544,0,00000003,00000000,00010001,00000150
545,545,0,00000003,00000000,00010001,00000150
546,546,0,00000003,00000000,00010001,00000150
547,547,0,00000003,00000000,00010001,00000150
548,548,0,00000003,00000000,00010001,00000150
549,549,0,00000003,00000000,00010001,00000150
550,550,0,00000003,00000000,00010001,00000150
551,551,0,00000003,00000000,00010001,00000150
552,552,0,00000003,00000000,00010001,00000150
553,553,0,00000003,00000000,00010001,00000150
554,554,0,00000003,00000000,00010001,00000150
555,555,0,00000003,00000000,00010001,00000150
556,556,0,00000003,00000000,00010001,00000150
557,557,0,00000003,00000000,00010001,00000150
558,558,0,00000003,00000000,00010001,00000150
559,559,0,00000003,00000000,00010001,00000150
560,560,0,00000003,00000000,00010001,00000150
